Student_ID,Stream,Avg_Score,Attendance_Pct,Grade
S-101,Science,85,92,A
S-102,Commerce,90,88,A+
S-103,Science,78,75,B+
S-105,Arts,82,90,A
S-106,Commerce,65,80,B
S-107,Science,88,95,A
S-108,Arts,72,85,B
S-109,Commerce,95,98,A+
S-110,Science,60,70,C
S-111,Arts,81,89,A
S-112,Science,76,82,B+
S-113,Commerce,89,91,A
S-114,Science,92,94,A+
S-115,Arts,68,78,C
S-116,Commerce,74,84,B
S-117,Science,83,86,A
S-119,Arts,77,81,B+
S-120,Commerce,85,90,A
S-121,Science,55,65,D
S-122,Arts,91,93,A+
S-123,Commerce,62,72,C
S-124,Science,88,96,A
S-125,Arts,79,84,B+
